iter	Logloss
0	0.6703347296
1	0.6493617605
2	0.6304299271
3	0.6134043336
4	0.5980827852
5	0.5845483845
6	0.5712839148
7	0.5604251077
8	0.5492866303
9	0.5391688347
10	0.5301052275
11	0.5208223248
12	0.5137085399
13	0.5065747355
14	0.5003141825
15	0.4942352917
16	0.4885682082
17	0.4824108391
18	0.476922074
19	0.4706862459
20	0.4659732296
21	0.4615986605
22	0.4573999502
23	0.4531648587
24	0.4482700602
25	0.4447013618
26	0.4419304613
27	0.4391068396
28	0.4308951085
29	0.4220614666
30	0.4191435904
31	0.4164109022
32	0.4127663871
33	0.4019864662
34	0.400089939
35	0.3921917691
36	0.3897549279
37	0.385290334
38	0.3834766681
39	0.3817077447
40	0.3785497513
41	0.3747646948
42	0.3729389894
43	0.3706415113
44	0.3675259464
45	0.3661489046
46	0.3627612992
47	0.3541140399
48	0.3520200205
49	0.350704647
50	0.3492955759
51	0.3479721982
52	0.3464537352
53	0.3449376476
54	0.3438128787
55	0.3423043869
56	0.340367711
57	0.337834115
58	0.3369711153
59	0.3356603695
60	0.3336234937
61	0.3325330785
62	0.3283344917
63	0.3276506173
64	0.3254935613
65	0.3249621867
66	0.3238193383
67	0.322286738
68	0.321784826
69	0.3208794614
70	0.3203743331
71	0.3190869427
72	0.3186982506
73	0.3181056941
74	0.3172384031
75	0.3164924424
76	0.3144143615
77	0.3127758775
78	0.3106393885
79	0.3091336699
80	0.3078930456
81	0.3068717821
82	0.3049503747
83	0.3038660854
84	0.3027883071
85	0.3023783572
86	0.3013474009
87	0.3009949776
88	0.2985786414
89	0.2980507822
90	0.2972934523
91	0.2967261281
92	0.2960172827
93	0.295566592
94	0.2952052465
95	0.29465936
96	0.2940245601
97	0.2933394144
98	0.292907006
99	0.2925469734
100	0.2922141552
101	0.2918429402
102	0.2912305884
103	0.2905812249
104	0.2901259929
105	0.2898288772
106	0.2891759023
107	0.2886808603
108	0.2882094274
109	0.2871744502
110	0.2862574625
111	0.2852635498
112	0.2849846737
113	0.2846965148
114	0.2842373084
115	0.2838782052
116	0.2825799554
117	0.2824379129
118	0.2817280432
119	0.2800911352
120	0.2798386794
121	0.2795655771
122	0.2789306122
123	0.2784889489
124	0.2782566895
125	0.2777823284
126	0.2775633208
127	0.2773904192
128	0.2769616402
129	0.2765432527
130	0.275991132
131	0.2758125832
132	0.2749282019
133	0.2743792283
134	0.2741603182
135	0.2740046187
136	0.2735780987
137	0.2732921529
138	0.2730010415
139	0.2728250395
140	0.2725189195
141	0.2723599154
142	0.2715911638
143	0.271403325
144	0.2711731273
145	0.2708954756
146	0.2704956198
147	0.2701126875
148	0.2696956612
149	0.268621169
150	0.2681456581
151	0.2677834918
152	0.267623359
153	0.267321272
154	0.267134228
155	0.2668113462
156	0.2664943056
157	0.2663655713
158	0.2662510184
159	0.2660230935
160	0.2658277771
161	0.2656758042
162	0.2654046824
163	0.2650857636
164	0.2648381852
165	0.2646636966
166	0.2644154429
167	0.2640326948
168	0.2638914148
169	0.2637758669
170	0.2633373915
171	0.2631417125
172	0.2630495604
173	0.2628809583
174	0.2626379919
175	0.2625211332
176	0.2622916632
177	0.2621527094
178	0.2620026009
179	0.2618450734
180	0.2613666507
181	0.2612666376
182	0.261105905
183	0.2609990614
184	0.2608722355
185	0.2606962219
186	0.2606098013
187	0.2604996407
188	0.2603506555
189	0.2602606818
190	0.2600928701
191	0.2597277065
192	0.259565767
193	0.2593824409
194	0.2591756824
195	0.2590533708
196	0.2589571621
197	0.258827966
198	0.2586892547
199	0.2583741482
200	0.2582865524
201	0.25811489
202	0.2578367661
203	0.2577230748
204	0.2575214842
205	0.2572671014
206	0.2571629498
207	0.2570629698
208	0.2566460855
209	0.2565228549
210	0.2560686325
211	0.2559455556
212	0.2556207149
213	0.2553684496
214	0.25528779
215	0.2551868687
216	0.2548567214
217	0.2547383103
218	0.2546821212
219	0.2543691775
220	0.2542297501
221	0.2541380081
222	0.2540287357
223	0.2538621835
224	0.2537558712
225	0.2534113024
226	0.252986285
227	0.2527420402
228	0.2523902926
229	0.2518889841
230	0.2517600643
231	0.2516599704
232	0.2506047912
233	0.2504931964
234	0.2501732974
235	0.2501144625
236	0.2500103187
237	0.2499247112
238	0.2495769719
239	0.2494955785
240	0.2491539598
241	0.248851723
242	0.2487922943
243	0.2486664391
244	0.2486024799
245	0.2485165917
246	0.2484111544
247	0.2483522725
248	0.2481273179
249	0.2475618906
250	0.2473655539
251	0.2472922621
252	0.2470929183
253	0.2469846937
254	0.2469364465
255	0.2468062933
256	0.2467130454
257	0.2466014348
258	0.2460203333
259	0.2459107556
260	0.2458333072
261	0.2456338311
262	0.2455674848
263	0.2454729032
264	0.2451804896
265	0.2450973983
266	0.2448828095
267	0.2447077672
268	0.2444437432
269	0.2442170078
270	0.2441515934
271	0.2440653526
272	0.2439808069
273	0.2439212762
274	0.2437157922
275	0.2436202892
276	0.243531821
277	0.2433879525
278	0.2432946479
279	0.2432216164
280	0.2431281875
281	0.2426968018
282	0.2426309363
283	0.242500125
284	0.2424087118
285	0.2421723024
286	0.2420766924
287	0.2419635325
288	0.2417843171
289	0.2416556645
290	0.2415531731
291	0.2412595496
292	0.2411763223
293	0.2410831064
294	0.2410329581
295	0.2409592583
296	0.2407983333
297	0.2405963554
298	0.2405233775
299	0.2403976729
300	0.2402557498
301	0.2400151814
302	0.2399505601
303	0.2398678582
304	0.2397727841
305	0.2395790277
306	0.2395200875
307	0.2394065955
308	0.2393324555
309	0.2391151333
310	0.2390066361
311	0.2387525465
312	0.2385429744
313	0.2383946084
314	0.2383284529
315	0.2382627194
316	0.2381992525
317	0.2381188455
318	0.2380384208
319	0.2378560519
320	0.2378006353
321	0.2377473805
322	0.2376724855
323	0.2375259561
324	0.2374389417
325	0.2373256709
326	0.2369867359
327	0.2366546043
328	0.236583811
329	0.2364899896
330	0.2363595002
331	0.2362465041
332	0.2361831914
333	0.2361127325
334	0.2360259132
335	0.2359744705
336	0.2358447055
337	0.2357708939
338	0.2356039289
339	0.2355419713
340	0.2354542182
341	0.2354064923
342	0.2353345805
343	0.2352334991
344	0.2351676023
345	0.2351058581
346	0.2349590991
347	0.2348689348
348	0.234797685
349	0.2346597646
350	0.234583879
351	0.2345364285
352	0.2344735029
353	0.2344162757
354	0.2342078246
355	0.2341346094
356	0.2340387868
357	0.2339610578
358	0.2338843782
359	0.2337097306
360	0.2336511752
361	0.2335864502
362	0.2335328211
363	0.2334664163
364	0.2333431365
365	0.2332669759
366	0.2332060296
367	0.2331560039
368	0.2329887267
369	0.2329269747
370	0.2328659158
371	0.2327934049
372	0.232729683
373	0.2326184424
374	0.2325448467
375	0.2323783323
376	0.232327445
377	0.2322588303
378	0.232183689
379	0.2320995953
380	0.232035191
381	0.2319487308
382	0.2318932817
383	0.2318256765
384	0.2316956774
385	0.2315973382
386	0.2315515982
387	0.2314845381
388	0.2314261391
389	0.2313331376
390	0.2312740927
391	0.2312068596
392	0.2311491613
393	0.2310837452
394	0.2310151264
395	0.2309418901
396	0.2308764076
397	0.2308009474
398	0.2307475494
399	0.2306916774
400	0.2306389553
401	0.2305872533
402	0.2305326975
403	0.2304224769
404	0.2303740619
405	0.2303045725
406	0.2302131702
407	0.2301624409
408	0.2300481592
409	0.2299958034
410	0.2299372379
411	0.2298941841
412	0.229432193
413	0.2293728448
414	0.2293104387
415	0.2292448415
416	0.22908316
417	0.2290309572
418	0.2289758502
419	0.2289262562
420	0.2288646946
421	0.2288159727
422	0.2287444566
423	0.2286427781
424	0.2285861091
425	0.2285242224
426	0.2284756487
427	0.2284138468
428	0.2283142272
429	0.2282485892
430	0.2281949443
431	0.2281516386
432	0.2281118924
433	0.2280039597
434	0.227881647
435	0.2278238807
436	0.227762141
437	0.2276980708
438	0.227657778
439	0.2276175437
440	0.2275679316
441	0.2275144756
442	0.2274371134
443	0.2273966405
444	0.2273291845
445	0.2272699757
446	0.2272216052
447	0.2271729838
448	0.2271227496
449	0.2270623891
450	0.2270118456
451	0.2268444684
452	0.2268146887
453	0.2266991766
454	0.2266539344
455	0.2265029243
456	0.2264457389
457	0.2264059061
458	0.2263612071
459	0.2262322081
460	0.2260931982
461	0.2260337067
462	0.2259833873
463	0.2259460148
464	0.2258855609
465	0.2258355532
466	0.2257864717
467	0.2257351104
468	0.2256838543
469	0.2256291426
470	0.225573199
471	0.2255025639
472	0.2254576304
473	0.2253975275
474	0.2253505388
475	0.2253129808
476	0.2252711724
477	0.2252270114
478	0.225166475
479	0.2251274329
480	0.2250794825
481	0.2250434843
482	0.2249996609
483	0.22494905
484	0.2249052081
485	0.2247828055
486	0.2247513508
487	0.2247115319
488	0.2246723704
489	0.2246384159
490	0.224597489
491	0.224556262
492	0.2245200796
493	0.2244729998
494	0.2244132152
495	0.2243757271
496	0.224339111
497	0.2242770289
498	0.2242263099
499	0.2241644952
500	0.2241117295
501	0.2240586018
502	0.224003583
503	0.2239497604
504	0.2239026803
505	0.2238545643
506	0.2237976358
507	0.2237528722
508	0.2237007336
509	0.223647301
510	0.2236054746
511	0.2235624972
512	0.2235197107
513	0.223468426
514	0.2234167986
515	0.2233543597
516	0.2233208634
517	0.2232557837
518	0.2232061598
519	0.2231648104
520	0.2230953301
521	0.2230557954
522	0.222999769
523	0.222894255
524	0.2228387449
525	0.2227814287
526	0.2227412325
527	0.2227088483
528	0.2226661918
529	0.2225622941
530	0.222515554
531	0.2224771047
532	0.222412644
533	0.2223680006
534	0.2223229708
535	0.2222777756
536	0.2222424736
537	0.2221566472
538	0.2220825537
539	0.2220331919
540	0.2219926789
541	0.2219512147
542	0.2219110879
543	0.2218687533
544	0.2218272
545	0.2217778002
546	0.221737479
547	0.2216927075
548	0.2216526033
549	0.2216093681
550	0.2215587789
551	0.2213642001
552	0.2212275733
553	0.221197218
554	0.2211557251
555	0.2211249578
556	0.2210760892
557	0.2208871874
558	0.2208554369
559	0.2208125283
560	0.2206342895
561	0.2205863427
562	0.2205280896
563	0.22047228
564	0.2204286896
565	0.2203807904
566	0.2203524644
567	0.2202931244
568	0.220258315
569	0.220216733
570	0.2201791817
571	0.2201492276
572	0.2201062623
573	0.2199792966
574	0.2199222988
575	0.2197724955
576	0.2197441122
577	0.2196776193
578	0.2196288724
579	0.2195718514
580	0.2195131033
581	0.2194612875
582	0.219415539
583	0.2193815046
584	0.2193453681
585	0.2193115006
586	0.2192652503
587	0.2191505
588	0.2191182228
589	0.2190794728
590	0.2190315817
591	0.2189826486
592	0.218942336
593	0.2188763623
594	0.2188412626
595	0.2187945033
596	0.2187460801
597	0.2187171692
598	0.2186778961
599	0.2186285404
600	0.2185734548
601	0.2185269495
602	0.218495009
603	0.2184528572
604	0.2183838707
605	0.2183479133
606	0.2182572941
607	0.2181544044
608	0.2181188499
609	0.2180854124
610	0.2180416231
611	0.2179932546
612	0.2179446939
613	0.2178979993
614	0.2178637127
615	0.2178204735
616	0.217789272
617	0.2177351149
618	0.2176825233
619	0.217644635
620	0.2176094917
621	0.2174733128
622	0.2174462931
623	0.2174156958
624	0.217386811
625	0.2173401337
626	0.2172958672
627	0.2172630134
628	0.2172314831
629	0.2171888788
630	0.2171478893
631	0.2170789794
632	0.2169870888
633	0.2169543009
634	0.2169070908
635	0.2168699277
636	0.2168329814
637	0.2167859315
638	0.216736924
639	0.2167024424
640	0.2166739854
641	0.2166426336
642	0.216588457
643	0.2165624694
644	0.216535786
645	0.2164932891
646	0.2164599583
647	0.2163671274
648	0.2163102901
649	0.2162721629
650	0.2162301258
651	0.2161851162
652	0.216152735
653	0.2161222033
654	0.2160858781
655	0.2160409908
656	0.2159939733
657	0.2159175417
658	0.2158788979
659	0.215828708
660	0.2158008487
661	0.215768474
662	0.2157272936
663	0.2156745904
664	0.2156407259
665	0.2155985516
666	0.2155602813
667	0.2155256605
668	0.2154929308
669	0.2154392279
670	0.2154013361
671	0.2153635062
672	0.2153125427
673	0.2152725133
674	0.215199063
675	0.2151479904
676	0.2151172422
677	0.2150766786
678	0.2149814175
679	0.2149524837
680	0.2149110775
681	0.2148808178
682	0.2148460211
683	0.2148117508
684	0.2147433194
685	0.2147042825
686	0.2146755144
687	0.2146251401
688	0.2145863542
689	0.2145415023
690	0.2145102168
691	0.2144762457
692	0.2144307777
693	0.2144069007
694	0.2143561088
695	0.2143281579
696	0.2142942874
697	0.214257308
698	0.2142159954
699	0.2141766629
700	0.2141028396
701	0.21406705
702	0.214030923
703	0.213973352
704	0.2139432484
705	0.2139106929
706	0.2138787485
707	0.213836499
708	0.2137995541
709	0.213760384
710	0.2137211155
711	0.2136940835
712	0.21366411
713	0.2136154781
714	0.2135805134
715	0.2134577639
716	0.2134219504
717	0.2133891689
718	0.213348565
719	0.2133092644
720	0.2132612685
721	0.2132326261
722	0.2131930765
723	0.2131639554
724	0.2131239799
725	0.213090825
726	0.2130570505
727	0.2130309144
728	0.2129865336
729	0.2129395625
730	0.2129034317
731	0.2128720554
732	0.212832113
733	0.2127901822
734	0.2127586331
735	0.2126684167
736	0.2126304945
737	0.2125939394
738	0.2125124941
739	0.2124176703
740	0.2123837288
741	0.2123396938
742	0.2122983876
743	0.2122778897
744	0.2122471967
745	0.2122034374
746	0.2121442608
747	0.2121069264
748	0.2120764963
749	0.2120452277
750	0.2120159034
751	0.211984648
752	0.2119370419
753	0.2119074647
754	0.211862985
755	0.2118163448
756	0.2117820603
757	0.2117392115
758	0.2117076964
759	0.2116756856
760	0.2116364229
761	0.2116025102
762	0.2115667982
763	0.2115389602
764	0.211499403
765	0.2114616025
766	0.2114150409
767	0.2113794948
768	0.2113434798
769	0.2113050083
770	0.2112783844
771	0.2112431741
772	0.2112167538
773	0.2111854048
774	0.2111502997
775	0.2111156009
776	0.2110083675
777	0.2109766295
778	0.2109390523
779	0.2108960565
780	0.2108750633
781	0.2108479382
782	0.2108221805
783	0.2107749301
784	0.2107354593
785	0.2107108765
786	0.2106800359
787	0.2106478727
788	0.2106095652
789	0.2105748295
790	0.2105396306
791	0.2105062573
792	0.210476395
793	0.2104503625
794	0.2104175263
795	0.2103879467
796	0.2103545432
797	0.2103176796
798	0.2102740216
799	0.2102374364
800	0.2101944083
801	0.2101729986
802	0.210147951
803	0.2100620121
804	0.2100343976
805	0.2100041745
806	0.2099736247
807	0.2099548506
808	0.2099174109
809	0.2098863274
810	0.2098533118
811	0.2098167965
812	0.209788804
813	0.2097621682
814	0.2097317321
815	0.2096971225
816	0.2096751831
817	0.2096411607
818	0.2096061725
819	0.2095772219
820	0.209541254
821	0.2094981458
822	0.2094618712
823	0.2094210042
824	0.2093850664
825	0.2093110165
826	0.2092062931
827	0.2091737842
828	0.2091417567
829	0.2091118539
830	0.2090707094
831	0.2090481441
832	0.2090158544
833	0.2089887625
834	0.2089464555
835	0.2089131621
836	0.2088784326
837	0.2088151997
838	0.2087885352
839	0.2087585746
840	0.208718653
841	0.2086925706
842	0.208666175
843	0.2086268526
844	0.2085869026
845	0.2085475725
846	0.2085173288
847	0.2084892712
848	0.2084565014
849	0.2084316526
850	0.2083965867
851	0.2083652544
852	0.2083201658
853	0.2082931758
854	0.2082655171
855	0.2081960833
856	0.2081632476
857	0.2081386976
858	0.2081064671
859	0.2080703734
860	0.2080464833
861	0.2080217918
862	0.2079917999
863	0.2079564683
864	0.2078763878
865	0.2078439657
866	0.2078159637
867	0.2077876243
868	0.2077559234
869	0.2077173652
870	0.2076790429
871	0.2076509288
872	0.2075620798
873	0.2075275974
874	0.2075041747
875	0.2074786333
876	0.2074413429
877	0.2074108351
878	0.2073820263
879	0.2073491813
880	0.2073204261
881	0.2072971239
882	0.2072461608
883	0.2072238754
884	0.207195102
885	0.2071703507
886	0.207126792
887	0.2070986875
888	0.2070616353
889	0.2070340091
890	0.2070088852
891	0.2069650893
892	0.2068696286
893	0.206835948
894	0.2067948723
895	0.2067640469
896	0.2067226561
897	0.2066962269
898	0.2066659397
899	0.2066353455
900	0.2066018798
901	0.2065745606
902	0.2065455224
903	0.2065179573
904	0.2064842201
905	0.2064560157
906	0.2064107787
907	0.2063829018
908	0.2063632942
909	0.2063381099
910	0.206307723
911	0.2062890751
912	0.2062649734
913	0.2061820959
914	0.2061574798
915	0.2061371639
916	0.206105382
917	0.2060638829
918	0.2060408125
919	0.206013437
920	0.2059880389
921	0.2059603544
922	0.2059311491
923	0.2058914578
924	0.2058576348
925	0.2058351813
926	0.205798875
927	0.2057735919
928	0.2057491805
929	0.2057240531
930	0.2056749881
931	0.2056397876
932	0.2056107378
933	0.2055753501
934	0.2055439343
935	0.20550882
936	0.205488562
937	0.2054587284
938	0.2053986774
939	0.2053692838
940	0.2053407537
941	0.2053097472
942	0.2052786777
943	0.2052427207
944	0.205220688
945	0.2051931736
946	0.2051526195
947	0.2051173691
948	0.2050278167
949	0.2049482873
950	0.2049203258
951	0.2048989809
952	0.204872309
953	0.2048453623
954	0.2048039984
955	0.2047275846
956	0.2046935307
957	0.2046685457
958	0.2046425802
959	0.2046192084
960	0.2045974392
961	0.2045730157
962	0.2045577627
963	0.2045251124
964	0.2044946943
965	0.2044643997
966	0.204434908
967	0.2044187739
968	0.2043970661
969	0.2043663973
970	0.2043333444
971	0.2043056066
972	0.2042778814
973	0.2042444741
974	0.2042210734
975	0.2041884806
976	0.2041576673
977	0.2041305999
978	0.2041137602
979	0.2040940055
980	0.2040628547
981	0.2040302118
982	0.2040034975
983	0.2039664917
984	0.2039402668
985	0.2039154618
986	0.2038852874
987	0.2038544275
988	0.2038279532
989	0.203801369
990	0.2037729376
991	0.2037484248
992	0.2037233105
993	0.2036870775
994	0.2036543841
995	0.2036277451
996	0.2036029595
997	0.2035763672
998	0.2035382485
999	0.2035216837
1000	0.2034904183
1001	0.2034572107
1002	0.2034189799
1003	0.2033989352
1004	0.2033710257
1005	0.2033400806
1006	0.2033181075
1007	0.2032456711
1008	0.2032136306
1009	0.2031885375
1010	0.2031695807
1011	0.2031450396
1012	0.2031223035
1013	0.2030952602
1014	0.2030720137
1015	0.2030436987
1016	0.2030008996
1017	0.2029666843
1018	0.2029410321
1019	0.2029126726
1020	0.2028900162
1021	0.2028551177
1022	0.2028182601
1023	0.2027950988
1024	0.2027670067
1025	0.202747605
1026	0.2027103983
1027	0.2026861903
1028	0.2026525707
1029	0.2025987125
1030	0.2025688176
1031	0.2025399708
1032	0.2025051717
1033	0.2024794856
1034	0.2024543665
1035	0.202430374
1036	0.2024061681
1037	0.2023536816
1038	0.2023212057
1039	0.2022994635
1040	0.2022732411
1041	0.2022558268
1042	0.2022320212
1043	0.2022063692
1044	0.2021915825
1045	0.2021649311
1046	0.2021407425
1047	0.2021114355
1048	0.2020876028
1049	0.2020655347
1050	0.2020325436
1051	0.2020145545
1052	0.201991441
1053	0.2019634451
1054	0.2019422835
1055	0.2019067757
1056	0.2018779284
1057	0.2018524158
1058	0.201829518
1059	0.2017927794
1060	0.2017687739
1061	0.2017480144
1062	0.2017229216
1063	0.201692003
1064	0.2016796703
1065	0.2016400474
1066	0.201590563
1067	0.2015633849
1068	0.201495534
1069	0.2014757599
1070	0.2014496386
1071	0.2014202673
1072	0.2014017318
1073	0.2013806349
1074	0.2013626957
1075	0.2013329106
1076	0.2013024861
1077	0.2012832425
1078	0.2012638576
1079	0.201237018
1080	0.2012102848
1081	0.2011715023
1082	0.2011465477
1083	0.2011283666
1084	0.201096323
1085	0.20107456
1086	0.2010478243
1087	0.2010381231
1088	0.2010224442
1089	0.2009878372
1090	0.2009647205
1091	0.2009309892
1092	0.2009069643
1093	0.2008807508
1094	0.2008516259
1095	0.2008301868
1096	0.2007953876
1097	0.2007776356
1098	0.2007392869
1099	0.2007091405
1100	0.2006823608
1101	0.2006565889
1102	0.2006363101
1103	0.2006149118
1104	0.2005777676
1105	0.2005538177
1106	0.2005333003
1107	0.2004929502
1108	0.2004640172
1109	0.2004373245
1110	0.2004078678
1111	0.2003587716
1112	0.2003273671
1113	0.2003047675
1114	0.2002838386
1115	0.2002554857
1116	0.200214665
1117	0.2001813899
1118	0.2001515498
1119	0.2001221286
1120	0.2000953259
1121	0.2000744329
1122	0.2000504066
1123	0.2000113583
1124	0.1999861061
1125	0.199961625
1126	0.1999453563
1127	0.1999203927
1128	0.1998954826
1129	0.1998736411
1130	0.1998283551
1131	0.1997987334
1132	0.1997741308
1133	0.1997548904
1134	0.199730842
1135	0.1997032113
1136	0.1996666377
1137	0.1996371241
1138	0.1996106168
1139	0.1995845398
1140	0.1995531052
1141	0.1995216988
1142	0.1995048511
1143	0.1994049019
1144	0.1993830997
1145	0.1993527195
1146	0.1993363869
1147	0.1993023248
1148	0.1992684734
1149	0.1992414899
1150	0.1992069043
1151	0.1991838223
1152	0.1991533234
1153	0.199131274
1154	0.1991019181
1155	0.1990668889
1156	0.1990324651
1157	0.199000544
1158	0.1989789547
1159	0.1989458876
1160	0.1989198746
1161	0.1988876825
1162	0.1988654939
1163	0.1988394758
1164	0.1988184885
1165	0.1987846634
1166	0.1987598156
1167	0.1987398059
1168	0.198712455
1169	0.1986754988
1170	0.1986377563
1171	0.1986130248
1172	0.1985834999
1173	0.1985620315
1174	0.1985312482
1175	0.198503043
